id,name,chr,38bp1,38bp2,37bp1,37bp2
"<a id=""ABCA4"" href=""#"" onclick=""resClick(this.id)"">ABCA4</a>",ATP binding cassette subfamily A member 4,1,"","",94458389,94586704
"<a id=""ABCA5"" href=""#"" onclick=""resClick(this.id)"">ABCA5</a>",ATP binding cassette subfamily A member 5,17,"","",67240451,67323274
"<a id=""ABCA6"" href=""#"" onclick=""resClick(this.id)"">ABCA6</a>",ATP binding cassette subfamily A member 6,17,"","",67074842,67138036
"<a id=""ABCA7"" href=""#"" onclick=""resClick(this.id)"">ABCA7</a>",ATP binding cassette subfamily A member 7,19,"","",1040101,1065570
"<a id=""ABCA8"" href=""#"" onclick=""resClick(this.id)"">ABCA8</a>",ATP binding cassette subfamily A member 8,17,"","",66863427,66951533
"<a id=""ABCA9"" href=""#"" onclick=""resClick(this.id)"">ABCA9</a>",ATP binding cassette subfamily A member 9,17,"","",66970628,67057068
"<a id=""ABCB1"" href=""#"" onclick=""resClick(this.id)"">ABCB1</a>",ATP binding cassette subfamily B member 1,7,"","",87133178,87342639
"<a id=""ABCB10"" href=""#"" onclick=""resClick(this.id)"">ABCB10</a>",ATP binding cassette subfamily B member 10,1,"","",229652328,229694454
"<a id=""ABCB11"" href=""#"" onclick=""resClick(this.id)"">ABCB11</a>",ATP binding cassette subfamily B member 11,2,"","",169777290,169887834
"<a id=""ABCB4"" href=""#"" onclick=""resClick(this.id)"">ABCB4</a>",ATP binding cassette subfamily B member 4,7,"","",87031011,87104996
"<a id=""ABCB5"" href=""#"" onclick=""resClick(this.id)"">ABCB5</a>",ATP binding cassette subfamily B member 5,7,"","",20655289,20796631
"<a id=""ABCB6"" href=""#"" onclick=""resClick(this.id)"">ABCB6</a>",ATP binding cassette subfamily B member 6 (Langereis blood group),2,"","",220074493,220083680
"<a id=""ABCB8"" href=""#"" onclick=""resClick(this.id)"">ABCB8</a>",ATP binding cassette subfamily B member 8,7,"","",150725508,150744869
"<a id=""ABCB9"" href=""#"" onclick=""resClick(this.id)"">ABCB9</a>",ATP binding cassette subfamily B member 9,12,"","",123405494,123451010
"<a id=""ABCC1"" href=""#"" onclick=""resClick(this.id)"">ABCC1</a>",ATP binding cassette subfamily C member 1,16,"","",16043472,16236910
"<a id=""ABCC10"" href=""#"" onclick=""resClick(this.id)"">ABCC10</a>",ATP binding cassette subfamily C member 10,6,"","",43395278,43418165
"<a id=""ABCC11"" href=""#"" onclick=""resClick(this.id)"">ABCC11</a>",ATP binding cassette subfamily C member 11,16,"","",48199683,48281450
"<a id=""ABCC12"" href=""#"" onclick=""resClick(this.id)"">ABCC12</a>",ATP binding cassette subfamily C member 12,16,"","",48116883,48180681
"<a id=""ABCC2"" href=""#"" onclick=""resClick(this.id)"">ABCC2</a>",ATP binding cassette subfamily C member 2,10,"","",101542396,101612351
"<a id=""ABCC3"" href=""#"" onclick=""resClick(this.id)"">ABCC3</a>",ATP binding cassette subfamily C member 3,17,"","",48712241,48769614
"<a id=""ABCC4"" href=""#"" onclick=""resClick(this.id)"">ABCC4</a>",ATP binding cassette subfamily C member 4,13,"","",95672082,95953700
"<a id=""ABCC5"" href=""#"" onclick=""resClick(this.id)"">ABCC5</a>",ATP binding cassette subfamily C member 5,3,"","",183637723,183735672
"<a id=""ABCC6"" href=""#"" onclick=""resClick(this.id)"">ABCC6</a>",ATP binding cassette subfamily C member 6,16,"","",16243421,16317328
"<a id=""ABCC8"" href=""#"" onclick=""resClick(this.id)"">ABCC8</a>",ATP binding cassette subfamily C member 8,11,"","",17414044,17498392
"<a id=""ABCC9"" href=""#"" onclick=""resClick(this.id)"">ABCC9</a>",ATP binding cassette subfamily C member 9,12,"","",21950323,22089628
"<a id=""ABCD2"" href=""#"" onclick=""resClick(this.id)"">ABCD2</a>",ATP binding cassette subfamily D member 2,12,"","",39943834,40013605
"<a id=""ABCD3"" href=""#"" onclick=""resClick(this.id)"">ABCD3</a>",ATP binding cassette subfamily D member 3,1,"","",94883944,94984219
"<a id=""ABCD4"" href=""#"" onclick=""resClick(this.id)"">ABCD4</a>",ATP binding cassette subfamily D member 4,14,"","",74751979,74769767
"<a id=""ABCE1"" href=""#"" onclick=""resClick(this.id)"">ABCE1</a>",ATP binding cassette subfamily E member 1,4,"","",146019462,146050676
"<a id=""ABCF2"" href=""#"" onclick=""resClick(this.id)"">ABCF2</a>",ATP binding cassette subfamily F member 2,7,"","",150908569,150924291
"<a id=""ABCF3"" href=""#"" onclick=""resClick(this.id)"">ABCF3</a>",ATP binding cassette subfamily F member 3,3,"","",183903862,183911795
"<a id=""ABCG1"" href=""#"" onclick=""resClick(this.id)"">ABCG1</a>",ATP binding cassette subfamily G member 1,21,"","",43619798,43717354
"<a id=""ABCG2"" href=""#"" onclick=""resClick(this.id)"">ABCG2</a>",ATP binding cassette subfamily G member 2 (Junior blood group),4,"","",89011415,89152778
"<a id=""ABCG4"" href=""#"" onclick=""resClick(this.id)"">ABCG4</a>",ATP binding cassette subfamily G member 4,11,"","",119019761,119033362
"<a id=""ABCG5"" href=""#"" onclick=""resClick(this.id)"">ABCG5</a>",ATP binding cassette subfamily G member 5,2,"","",44039610,44065978
"<a id=""ABCG8"" href=""#"" onclick=""resClick(this.id)"">ABCG8</a>",ATP binding cassette subfamily G member 8,2,"","",44066109,44110127
"<a id=""ABHD1"" href=""#"" onclick=""resClick(this.id)"">ABHD1</a>",abhydrolase domain containing 1,2,"","",27346682,27353680
"<a id=""ABHD10"" href=""#"" onclick=""resClick(this.id)"">ABHD10</a>",abhydrolase domain containing 10,3,"","",111697722,111712215
"<a id=""ABHD11"" href=""#"" onclick=""resClick(this.id)"">ABHD11</a>",abhydrolase domain containing 11,7,"","",73150424,73153197
"<a id=""ABHD12"" href=""#"" onclick=""resClick(this.id)"">ABHD12</a>",abhydrolase domain containing 12,20,"","",25275378,25371471
"<a id=""ABHD12B"" href=""#"" onclick=""resClick(this.id)"">ABHD12B</a>",abhydrolase domain containing 12B,14,"","",51338770,51371688
"<a id=""ABHD13"" href=""#"" onclick=""resClick(this.id)"">ABHD13</a>",abhydrolase domain containing 13,13,"","",108870739,108886591
"<a id=""ABHD14A"" href=""#"" onclick=""resClick(this.id)"">ABHD14A</a>",abhydrolase domain containing 14A,3,"","",52009079,52015212
"<a id=""ABHD14A-ACY1"" href=""#"" onclick=""resClick(this.id)"">ABHD14A-ACY1</a>",ABHD14A-ACY1 readthrough,3,"","",52009079,52023213
"<a id=""ABHD14B"" href=""#"" onclick=""resClick(this.id)"">ABHD14B</a>",abhydrolase domain containing 14B,3,"","",52002525,52008646
"<a id=""ABHD15"" href=""#"" onclick=""resClick(this.id)"">ABHD15</a>",abhydrolase domain containing 15,17,"","",27887564,27894055
"<a id=""ABHD16B"" href=""#"" onclick=""resClick(this.id)"">ABHD16B</a>",abhydrolase domain containing 16B,20,"","",62492565,62494341
"<a id=""ABHD17A"" href=""#"" onclick=""resClick(this.id)"">ABHD17A</a>",abhydrolase domain containing 17A,19,"","",1876808,1885495
"<a id=""ABHD17B"" href=""#"" onclick=""resClick(this.id)"">ABHD17B</a>",abhydrolase domain containing 17B,9,"","",74477367,74526161
"<a id=""ABHD17C"" href=""#"" onclick=""resClick(this.id)"">ABHD17C</a>",abhydrolase domain containing 17C,15,"","",80987650,81047962
"<a id=""ABHD18"" href=""#"" onclick=""resClick(this.id)"">ABHD18</a>",abhydrolase domain containing 18,4,"","",128886560,128961082
"<a id=""ABHD2"" href=""#"" onclick=""resClick(this.id)"">ABHD2</a>",abhydrolase domain containing 2,15,"","",89631686,89745586
"<a id=""ABHD3"" href=""#"" onclick=""resClick(this.id)"">ABHD3</a>",abhydrolase domain containing 3,18,"","",19230862,19284735
"<a id=""ABHD4"" href=""#"" onclick=""resClick(this.id)"">ABHD4</a>",abhydrolase domain containing 4,14,"","",23067146,23081265
"<a id=""ABHD5"" href=""#"" onclick=""resClick(this.id)"">ABHD5</a>",abhydrolase domain containing 5,3,"","",43732429,43775863
"<a id=""ABHD6"" href=""#"" onclick=""resClick(this.id)"">ABHD6</a>",abhydrolase domain containing 6,3,"","",58223228,58280463
"<a id=""ABHD8"" href=""#"" onclick=""resClick(this.id)"">ABHD8</a>",abhydrolase domain containing 8,19,"","",17402939,17414234
"<a id=""ABI1"" href=""#"" onclick=""resClick(this.id)"">ABI1</a>",abl interactor 1,10,"","",27035524,27150016
"<a id=""ABI2"" href=""#"" onclick=""resClick(this.id)"">ABI2</a>",abl interactor 2,2,"","",204193116,204312449
"<a id=""ABI3"" href=""#"" onclick=""resClick(this.id)"">ABI3</a>",ABI family member 3,17,"","",47287588,47300587
"<a id=""ABI3BP"" href=""#"" onclick=""resClick(this.id)"">ABI3BP</a>",ABI family member 3 binding protein,3,"","",100468178,100712334
"<a id=""ABITRAM"" href=""#"" onclick=""resClick(this.id)"">ABITRAM</a>",actin binding transcription modulator,9,"","",111696679,111703234
"<a id=""ABL1"" href=""#"" onclick=""resClick(this.id)"">ABL1</a>","ABL proto-oncogene 1, non-receptor tyrosine kinase",9,"","",133589267,133763062
"<a id=""ABL2"" href=""#"" onclick=""resClick(this.id)"">ABL2</a>","ABL proto-oncogene 2, non-receptor tyrosine kinase",1,"","",179068464,179198812
"<a id=""ABLIM1"" href=""#"" onclick=""resClick(this.id)"">ABLIM1</a>",actin binding LIM protein 1,10,"","",116190870,116528063
"<a id=""ABLIM2"" href=""#"" onclick=""resClick(this.id)"">ABLIM2</a>",actin binding LIM protein family member 2,4,"","",7967053,8160540
"<a id=""ABLIM3"" href=""#"" onclick=""resClick(this.id)"">ABLIM3</a>",actin binding LIM protein family member 3,5,"","",148521009,148640001
"<a id=""ABO"" href=""#"" onclick=""resClick(this.id)"">ABO</a>","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",9,"","",136125787,136150617
"<a id=""ABR"" href=""#"" onclick=""resClick(this.id)"">ABR</a>",ABR activator of RhoGEF and GTPase,17,"","",906758,1133016
"<a id=""ABRA"" href=""#"" onclick=""resClick(this.id)"">ABRA</a>",actin binding Rho activating protein,8,"","",107771710,107782472
"<a id=""ABRACL"" href=""#"" onclick=""resClick(this.id)"">ABRACL</a>",ABRA C-terminal like,6,"","",139349881,139364439
"<a id=""ABRAXAS1"" href=""#"" onclick=""resClick(this.id)"">ABRAXAS1</a>","abraxas 1, BRCA1 A complex subunit",4,"","",84380669,84406253
"<a id=""ABRAXAS2"" href=""#"" onclick=""resClick(this.id)"">ABRAXAS2</a>","abraxas 2, BRISC complex subunit",10,"","",126490387,126525236
"<a id=""ABT1"" href=""#"" onclick=""resClick(this.id)"">ABT1</a>",activator of basal transcription 1,6,"","",26597180,26600967
"<a id=""ABTB1"" href=""#"" onclick=""resClick(this.id)"">ABTB1</a>",ankyrin repeat and BTB domain containing 1,3,"","",127391780,127399769
"<a id=""ABTB2"" href=""#"" onclick=""resClick(this.id)"">ABTB2</a>",ankyrin repeat and BTB domain containing 2,11,"","",34172533,34379557
"<a id=""ACAA1"" href=""#"" onclick=""resClick(this.id)"">ACAA1</a>",acetyl-CoA acyltransferase 1,3,"","",38164200,38178733
"<a id=""ACAA2"" href=""#"" onclick=""resClick(this.id)"">ACAA2</a>",acetyl-CoA acyltransferase 2,18,"","",47308533,47339903
"<a id=""ACACA"" href=""#"" onclick=""resClick(this.id)"">ACACA</a>",acetyl-CoA carboxylase alpha,17,"","",35441926,35766927
"<a id=""ACACB"" href=""#"" onclick=""resClick(this.id)"">ACACB</a>",acetyl-CoA carboxylase beta,12,"","",109554391,109706030
"<a id=""ACAD10"" href=""#"" onclick=""resClick(this.id)"">ACAD10</a>",acyl-CoA dehydrogenase family member 10,12,"","",112123856,112194903
"<a id=""ACAD11"" href=""#"" onclick=""resClick(this.id)"">ACAD11</a>",acyl-CoA dehydrogenase family member 11,3,"","",132276981,132378975
"<a id=""ACAD8"" href=""#"" onclick=""resClick(this.id)"">ACAD8</a>",acyl-CoA dehydrogenase family member 8,11,"","",134123433,134135746
"<a id=""ACAD9"" href=""#"" onclick=""resClick(this.id)"">ACAD9</a>",acyl-CoA dehydrogenase family member 9,3,"","",128598332,128631957
"<a id=""ACADL"" href=""#"" onclick=""resClick(this.id)"">ACADL</a>",acyl-CoA dehydrogenase long chain,2,"","",211052646,211090171
"<a id=""ACADM"" href=""#"" onclick=""resClick(this.id)"">ACADM</a>",acyl-CoA dehydrogenase medium chain,1,"","",76190031,76229363
"<a id=""ACADS"" href=""#"" onclick=""resClick(this.id)"">ACADS</a>",acyl-CoA dehydrogenase short chain,12,"","",121163628,121177811
"<a id=""ACADSB"" href=""#"" onclick=""resClick(this.id)"">ACADSB</a>",acyl-CoA dehydrogenase short/branched chain,10,"","",124768428,124817806
"<a id=""ACADVL"" href=""#"" onclick=""resClick(this.id)"">ACADVL</a>",acyl-CoA dehydrogenase very long chain,17,"","",7120443,7128586
"<a id=""ACAN"" href=""#"" onclick=""resClick(this.id)"">ACAN</a>",aggrecan,15,"","",89346666,89418584
"<a id=""ACAP1"" href=""#"" onclick=""resClick(this.id)"">ACAP1</a>","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",17,"","",7239847,7254796
"<a id=""ACAP2"" href=""#"" onclick=""resClick(this.id)"">ACAP2</a>","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",3,"","",194995473,195163749
"<a id=""ACAP3"" href=""#"" onclick=""resClick(this.id)"">ACAP3</a>","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",1,"","",1227770,1243310
"<a id=""ACAT1"" href=""#"" onclick=""resClick(this.id)"">ACAT1</a>",acetyl-CoA acetyltransferase 1,11,"","",107992293,108018328
"<a id=""ACAT2"" href=""#"" onclick=""resClick(this.id)"">ACAT2</a>",acetyl-CoA acetyltransferase 2,6,"","",160183076,160200144
"<a id=""ACBD3"" href=""#"" onclick=""resClick(this.id)"">ACBD3</a>",acyl-CoA binding domain containing 3,1,"","",226332379,226374442
"<a id=""ACBD4"" href=""#"" onclick=""resClick(this.id)"">ACBD4</a>",acyl-CoA binding domain containing 4,17,"","",43209985,43221543
"<a id=""ACBD5"" href=""#"" onclick=""resClick(this.id)"">ACBD5</a>",acyl-CoA binding domain containing 5,10,"","",27471766,27529808
"<a id=""ACBD6"" href=""#"" onclick=""resClick(this.id)"">ACBD6</a>",acyl-CoA binding domain containing 6,1,"","",180257364,180471712
"<a id=""ACBD7"" href=""#"" onclick=""resClick(this.id)"">ACBD7</a>",acyl-CoA binding domain containing 7,10,"","",15117473,15130775
"<a id=""ACBD7-DCLRE1CP1"" href=""#"" onclick=""resClick(this.id)"">ACBD7-DCLRE1CP1</a>",,10,"","",15057070,15130775
"<a id=""ACCS"" href=""#"" onclick=""resClick(this.id)"">ACCS</a>",1-aminocyclopropane-1-carboxylate synthase homolog (inactive),11,"","",44087819,44105786
"<a id=""ACCSL"" href=""#"" onclick=""resClick(this.id)"">ACCSL</a>",1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,11,"","",44069530,44081527
"<a id=""ACD"" href=""#"" onclick=""resClick(this.id)"">ACD</a>",ACD shelterin complex subunit and telomerase recruitment factor,16,"","",67691414,67694163
"<a id=""ACE"" href=""#"" onclick=""resClick(this.id)"">ACE</a>",angiotensin I converting enzyme,17,"","",61554421,61575734
"<a id=""ACER1"" href=""#"" onclick=""resClick(this.id)"">ACER1</a>",alkaline ceramidase 1,19,"","",6306152,6333623
"<a id=""ACER2"" href=""#"" onclick=""resClick(this.id)"">ACER2</a>",alkaline ceramidase 2,9,"","",19409006,19452502
"<a id=""ACER3"" href=""#"" onclick=""resClick(this.id)"">ACER3</a>",alkaline ceramidase 3,11,"","",76571961,76737841
"<a id=""ACHE"" href=""#"" onclick=""resClick(this.id)"">ACHE</a>",acetylcholinesterase (Cartwright blood group),7,"","",100487614,100494614
"<a id=""ACIN1"" href=""#"" onclick=""resClick(this.id)"">ACIN1</a>",apoptotic chromatin condensation inducer 1,14,"","",23527773,23564823
"<a id=""ACKR1"" href=""#"" onclick=""resClick(this.id)"">ACKR1</a>",atypical chemokine receptor 1 (Duffy blood group),1,"","",159174664,159176290
"<a id=""ACKR2"" href=""#"" onclick=""resClick(this.id)"">ACKR2</a>",atypical chemokine receptor 2,3,"","",42850936,42908778
"<a id=""ACKR3"" href=""#"" onclick=""resClick(this.id)"">ACKR3</a>",atypical chemokine receptor 3,2,"","",237478467,237490994
"<a id=""ACKR4"" href=""#"" onclick=""resClick(this.id)"">ACKR4</a>",atypical chemokine receptor 4,3,"","",132316113,132321485
"<a id=""ACLY"" href=""#"" onclick=""resClick(this.id)"">ACLY</a>",ATP citrate lyase,17,"","",40023169,40075275
"<a id=""ACMSD"" href=""#"" onclick=""resClick(this.id)"">ACMSD</a>",aminocarboxymuconate semialdehyde decarboxylase,2,"","",135596185,135659602
"<a id=""ACO1"" href=""#"" onclick=""resClick(this.id)"">ACO1</a>",aconitase 1,9,"","",32384640,32454766
"<a id=""ACO2"" href=""#"" onclick=""resClick(this.id)"">ACO2</a>",aconitase 2,22,"","",41865120,41924978
"<a id=""ACOT1"" href=""#"" onclick=""resClick(this.id)"">ACOT1</a>",acyl-CoA thioesterase 1,14,"","",74003846,74010500
"<a id=""ACOT11"" href=""#"" onclick=""resClick(this.id)"">ACOT11</a>",acyl-CoA thioesterase 11,1,"","",55013900,55104865
"<a id=""ACOT12"" href=""#"" onclick=""resClick(this.id)"">ACOT12</a>",acyl-CoA thioesterase 12,5,"","",80625814,80689953
"<a id=""ACOT13"" href=""#"" onclick=""resClick(this.id)"">ACOT13</a>",acyl-CoA thioesterase 13,6,"","",24667262,24705295
"<a id=""ACOT2"" href=""#"" onclick=""resClick(this.id)"">ACOT2</a>",acyl-CoA thioesterase 2,14,"","",74034323,74042362
"<a id=""ACOT4"" href=""#"" onclick=""resClick(this.id)"">ACOT4</a>",acyl-CoA thioesterase 4,14,"","",74058409,74062471
"<a id=""ACOT6"" href=""#"" onclick=""resClick(this.id)"">ACOT6</a>",acyl-CoA thioesterase 6,14,"","",74077648,74086592
"<a id=""ACOT7"" href=""#"" onclick=""resClick(this.id)"">ACOT7</a>",acyl-CoA thioesterase 7,1,"","",6324331,6453826
"<a id=""ACOT8"" href=""#"" onclick=""resClick(this.id)"">ACOT8</a>",acyl-CoA thioesterase 8,20,"","",44470359,44486031
"<a id=""ACOX1"" href=""#"" onclick=""resClick(this.id)"">ACOX1</a>",acyl-CoA oxidase 1,17,"","",73937591,73975247
"<a id=""ACOX2"" href=""#"" onclick=""resClick(this.id)"">ACOX2</a>",acyl-CoA oxidase 2,3,"","",58490862,58522917
"<a id=""ACOX3"" href=""#"" onclick=""resClick(this.id)"">ACOX3</a>","acyl-CoA oxidase 3, pristanoyl",4,"","",8368008,8442452
"<a id=""ACOXL"" href=""#"" onclick=""resClick(this.id)"">ACOXL</a>",acyl-CoA oxidase like,2,"","",111490149,111876120
"<a id=""ACP1"" href=""#"" onclick=""resClick(this.id)"">ACP1</a>",acid phosphatase 1,2,"","",264868,278282
"<a id=""ACP2"" href=""#"" onclick=""resClick(this.id)"">ACP2</a>","acid phosphatase 2, lysosomal",11,"","",47260852,47270398
"<a id=""ACP4"" href=""#"" onclick=""resClick(this.id)"">ACP4</a>",acid phosphatase 4,19,"","",51293671,51298476
"<a id=""ACP5"" href=""#"" onclick=""resClick(this.id)"">ACP5</a>","acid phosphatase 5, tartrate resistant",19,"","",11685474,11689790
"<a id=""ACP6"" href=""#"" onclick=""resClick(this.id)"">ACP6</a>","acid phosphatase 6, lysophosphatidic",1,"","",147114028,147142646
"<a id=""ACP7"" href=""#"" onclick=""resClick(this.id)"">ACP7</a>","acid phosphatase 7, tartrate resistant (putative)",19,"","",39575007,39602132
"<a id=""ACPP"" href=""#"" onclick=""resClick(this.id)"">ACPP</a>","acid phosphatase, prostate",3,"","",132036250,132087146
"<a id=""ACR"" href=""#"" onclick=""resClick(this.id)"">ACR</a>",acrosin,22,"","",51176631,51183767
"<a id=""ACRBP"" href=""#"" onclick=""resClick(this.id)"">ACRBP</a>",acrosin binding protein,12,"","",6747240,6756598
"<a id=""ACRV1"" href=""#"" onclick=""resClick(this.id)"">ACRV1</a>",acrosomal vesicle protein 1,11,"","",125541416,125550742
"<a id=""ACSBG1"" href=""#"" onclick=""resClick(this.id)"">ACSBG1</a>",acyl-CoA synthetase bubblegum family member 1,15,"","",78459809,78526907
"<a id=""ACSBG2"" href=""#"" onclick=""resClick(this.id)"">ACSBG2</a>",acyl-CoA synthetase bubblegum family member 2,19,"","",6135643,6193114
"<a id=""ACSF2"" href=""#"" onclick=""resClick(this.id)"">ACSF2</a>",acyl-CoA synthetase family member 2,17,"","",48503518,48552206
"<a id=""ACSF3"" href=""#"" onclick=""resClick(this.id)"">ACSF3</a>",acyl-CoA synthetase family member 3,16,"","",89160216,89222254
"<a id=""ACSL1"" href=""#"" onclick=""resClick(this.id)"">ACSL1</a>",acyl-CoA synthetase long chain family member 1,4,"","",185676748,185747268
"<a id=""ACSL3"" href=""#"" onclick=""resClick(this.id)"">ACSL3</a>",acyl-CoA synthetase long chain family member 3,2,"","",223725753,223809356
"<a id=""ACSL5"" href=""#"" onclick=""resClick(this.id)"">ACSL5</a>",acyl-CoA synthetase long chain family member 5,10,"","",114133873,114188134
"<a id=""ACSL6"" href=""#"" onclick=""resClick(this.id)"">ACSL6</a>",acyl-CoA synthetase long chain family member 6,5,"","",131285666,131347761
"<a id=""ACSM1"" href=""#"" onclick=""resClick(this.id)"">ACSM1</a>",acyl-CoA synthetase medium chain family member 1,16,"","",20634558,20709110
"<a id=""ACSM2A"" href=""#"" onclick=""resClick(this.id)"">ACSM2A</a>",acyl-CoA synthetase medium chain family member 2A,16,"","",20462842,20498991
"<a id=""ACSM2B"" href=""#"" onclick=""resClick(this.id)"">ACSM2B</a>",acyl-CoA synthetase medium chain family member 2B,16,"","",20547552,20587689
"<a id=""ACSM3"" href=""#"" onclick=""resClick(this.id)"">ACSM3</a>",acyl-CoA synthetase medium chain family member 3,16,"","",20775335,20808903
"<a id=""ACSM4"" href=""#"" onclick=""resClick(this.id)"">ACSM4</a>",acyl-CoA synthetase medium chain family member 4,12,"","",7456927,7480969
"<a id=""ACSM5"" href=""#"" onclick=""resClick(this.id)"">ACSM5</a>",acyl-CoA synthetase medium chain family member 5,16,"","",20420855,20452658
"<a id=""ACSM6"" href=""#"" onclick=""resClick(this.id)"">ACSM6</a>",acyl-CoA synthetase medium chain family member 6,10,"","",96953956,96988686
